Amélie	f	0
Amélie-Anne	f	0
Amélie-Marie	f	0
Améline	f	0
Améllya	f	0
Amély	f	0
Amély-Anne	f	0
Amélya	f	0
Améthyste	f	0
An-Marie	f	0
Ana	f	1
Ana-Marie	f	0
Anabel	f	0
Anabela	f	0
Anabella	f	0
Anabelle	f	0
Anabèle	f	0
Anadela	f	0
Anado	f	0
Anaelle	f	0
Anaelle-Jade	f	0
Anahid	f	0
Anahide	f	0
Anahit	f	0
Anaitz	m	0
Analie	f	0
Analu	f	0
Analy	f	0
Anamari	f	0
Anamarija	f	0
Anas	m	0
Anastase	m	1
Anastasia	f	0
Anastasie	f	0
Anastasija	f	0
Anastasio	m	0
Anastasiya	f	0
Anastassia	f	0
Anastasya	f	0
Anastazija	f	0
Anasthasia	f	0
Anasthasie	f	0
Anatole	m	0
Anatolii	m	0
Anatoline	f	0
Anatoly	m	0
Anaèle	f	0
Anaé	f	0
Anaée	f	0
Anaë	f	0
Anaële	f	0
Anaëlle	f	0
Anaïa	f	0
Anaïde	f	0
Anaïg	f	0
Anaïk	f	0
Anaïs	f	0
Anaïse	f	0
Anaïtis	f	0
Anbu	m	0
Anceline	f	0
Ancolie	f	0
Ande	m	0
Andelija	f	0
Ander	m	0
Anders	m	0
Andgéline	f	0
Andi	m	0
Andjelija	f	0
Andoche	m	0
Andre	m	0
Andreas	m	0
Andrei	m	0
Andrej	m	0
Andressa	f	0
Andrey	m	0
Andreï	m	0
Andriane	f	0
Andrianne	f	0
Andries	m	0
Andrii	m	0
Andrija	m	0
Andrijana	f	0
Andrije	m	0
Andriy	m	0
Andriï	m	0
Andronic	m	0
Andryi	m	0
Andrzej	m	0
André	m	0
André-Anne	f	0
André-François	m	0
André-Marie	m	0
Andréan	m	0
Andréana	f	0
Andréane	f	0
Andréanne	f	0
Andréas	m	0
Andrée	f	0
Andrée-Anne	f	0
Andrée-Marie	f	0
Andréine	f	0
Andrés	m	0
Andy	m	0
Aneirin	m	0
Anelie	f	0
Aneline	f	0
Anelyne	f	0
Aneurin	m	0
Ange-François	m	0
Ange-Line	f	0
Ange-Marie	f	0
Angela	f	0
Angelin	m	0
Angelina	f	0
Angeline	f	0
Angelique	f	0
Angelo	m	0
Angelyne	f	0
Angie	f	0
Angus	m	0
Angèle	f	0
Angéla	f	0
Angélia	f	0
Angélie	f	0
Angélika	f	0
Angélina	f	0
Angéline	f	0
Angélino	m	0
Angélique	f	0
Angélo	m	0
Angélyna	f	0
Angélyne	f	0
Anhelina	f	0
Ania	f	0
Anicet	m	0
Anick	f	0
Anil	m	0
Anirudh	m	0
Anisha	f	0
Anissa	f	0
Ann	f	0
Ann-Aël	f	0
Ann-Lenaig	f	0
Ann-Marie	f	0
Ann-Sophie	f	0
Anna	f	1
Anna-Caroline	f	0
Anna-Line	f	0
Anna-Lisa	f	0
Anna-Maria	f	0
Anna-Marie	f	0
Anna-Victoria	f	0
Annabel	f	0
Annabella	f	0
Annabèle	f	0
Annaelle	f	0
Annah	f	0
Annaig	f	0
Annalena	f	0
Annalie	f	0
Annastasia	f	0
Annaël	f	0
Annaëlle	f	0
Annaïck	f	0
Annaïg	f	0
Annaïk	f	0
Anne-Abigaelle	f	0
Anne-Ael	f	0
Anne-Aelle	f	0
Anne-Aimone	f	0
Anne-Alexandra	f	0
Anne-Alice	f	0
Anne-Amélie	f	0
Anne-Arielle	f	0
Anne-Astrid	f	0
Anne-Audrey	f	0
Anne-Aurore	f	0
Anne-Aurélie	f	0
Anne-Aymone	f	0
Anne-Aël	f	0
Anne-Blanche	f	0
Anne-Blandine	f	0
Anne-Brigitte	f	0
Anne-Béatrice	f	0
Anne-Bénédicte	f	0
Anne-Bérangère	f	0
Anne-Bérengère	f	0
Anne-Camille	f	0
Anne-Capucine	f	0
Anne-Carine	f	0
Anne-Carole	f	0
Anne-Caroline	f	0
Anne-Catherine	f	0
Anne-Chantal	f	0
Anne-Charlie	f	0
Anne-Charline	f	0
Anne-Charlotte	f	0
Anne-Charlène	f	0
Anne-Chloé	f	0
Anne-Christel	f	0
Anne-Christelle	f	0
Anne-Christie	f	0
Anne-Christine	f	0
Anne-Christy	f	0
Anne-Claire	f	0
Anne-Clara	f	0
Anne-Clarisse	f	0
Anne-Claude	f	0
Anne-Clothilde	f	0
Anne-Clotilde	f	0
Anne-Cloé	f	0
Anne-Clémence	f	0
Anne-Colette	f	0
Anne-Colombe	f	0
Anne-Constance	f	0
Anne-Coralie	f	0
Anne-Cécile	f	0
Anne-Céline	f	0
Anne-Danielle	f	0
Anne-Daphnée	f	0
Anne-Dauphine	f	0
Anne-Deborah	f	0
Anne-Delphine	f	0
Anne-Dominique	f	0
Anne-Dorothée	f	0
Anne-Déborah	f	0
Anne-Emmanuelle	f	0
Anne-Estelle	f	0
Anne-Esther	f	0
Anne-Eva	f	0
Anne-Flavie	f	0
Anne-Fleur	f	0
Anne-Flore	f	0
Anne-Florence	f	0
Anne-France	f	0
Anne-Françoise	f	0
Anne-Frédéric	f	0
Anne-Frédérick	f	0
Anne-Frédérik	f	0
Anne-Frédérique	f	0
Anne-Gabrielle	f	0
Anne-Gaël	f	0
Anne-Gaële	f	0
Anne-Gaëlle	f	0
Anne-Geneviève	f	0
Anne-Gwenaëlle	f	0
Anne-Héloïse	f	0
Anne-Hélène	f	0
Anne-Isabelle	f	0
Anne-Jeanne	f	0
Anne-Jolie	f	0
Anne-Josèphe	f	0
Anne-José	f	0
Anne-Josée	f	0
Anne-Joëlle	f	0
Anne-Julia	f	0
Anne-Julie	f	0
Anne-Juliette	f	0
Anne-Justine	f	0
Anne-Karine	f	0
Anne-Katell	f	0
Anne-Katherine	f	0
Anne-Kelly	f	0
Anne-Laetitia	f	0
Anne-Laura	f	0
Anne-Laure	f	0
Anne-Laurence	f	0
Anne-Laurie	f	0
Anne-Laury	f	0
Anne-Laétitia	f	0
Anne-Laëtitia	f	0
Anne-Lee	f	0
Anne-Li	f	0
Anne-Liese	f	0
Anne-Lili	f	0
Anne-Line	f	0
Anne-Lise	f	0
Anne-Lore	f	0
Anne-Lorie	f	0
Anne-Lorraine	f	0
Anne-Lotte	f	0
Anne-Lou	f	0
Anne-Louise	f	0
Anne-Luce	f	0
Anne-Lucie	f	0
Anne-Lucile	f	0
Anne-Lydie	f	0
Anne-Lyne	f	0
Anne-Lys	f	0
Anne-Lætitia	f	0
Anne-Léa	f	0
Anne-Madeleine	f	0
Anne-Maelle	f	0
Anne-Maelys	f	0
Anne-Marguerite	f	0
Anne-Maria	f	0
Anne-Marie	f	0
Anne-Marine	f	0
Anne-Martine	f	0
Anne-Mary	f	0
Anne-Mathilde	f	0
Anne-Maud	f	0
Anne-Maude	f	0
Anne-Maëlle	f	0
Anne-Maëlys	f	0
Anne-Michelle	f	0
Anne-Michèle	f	0
Anne-Monique	f	0
Anne-Muriel	f	0
Anne-Noëlle	f	0
Anne-Olivia	f	0
Anne-Pascale	f	0
Anne-Patricia	f	0
Anne-Paule	f	0
Anne-Pauline	f	0
Anne-Perrine	f	0
Anne-Philippe	f	0
Anne-Philomène	f	0
Anne-Pier	f	0
Anne-Priscille	f	0
Anne-Rachel	f	0
Anne-Raphaëlle	f	0
Anne-Renée	f	0
Anne-Rosalie	f	0
Anne-Rose	f	0
Anne-Sabine	f	0
Anne-Sandrine	f	0
Anne-Sara	f	0
Anne-Sarah	f	0
Anne-Saskia	f	0
Anne-Simone	f	0
Anne-Sixtine	f	0
Anne-So	f	0
Anne-Soazig	f	0
Anne-Sofie	f	0
Anne-Soizic	f	0
Anne-Solange	f	0
Anne-Solenn	f	0
Anne-Solenne	f	0
Anne-Soline	f	0
Anne-Solène	f	0
Anne-Sophie	f	0
Anne-Sophy	f	0
Anne-Stéphanie	f	0
Anne-Sylvaine	f	0
Anne-Sylvie	f	0
Anne-Ségolène	f	0
Anne-Séverine	f	0
Anne-Thaïs	f	0
Anne-Thérèse	f	0
Anne-Tiphaine	f	0
Anne-Valérie	f	0
Anne-Victoire	f	0
Anne-Victoria	f	0
Anne-Violaine	f	0
Anne-Violette	f	0
Anne-Virginie	f	0
Anne-Véronique	f	0
Anne-Yvonne	f	0
Anne-Zoé	f	0
Anne-Élie	f	0
Anne-Élisabeth	f	0
Anne-Élise	f	0
Anne-Élizabeth	f	0
Anne-Élodie	f	0
Anne-Éloïse	f	0
Anne-Éléonore	f	0
Anne-Émilie	f	0
Anne-Éva	f	0
Annelaure	f	0
Anneli	f	0
Annelie	f	0
Annelies	f	0
Anneliese	f	0
Anneline	f	0
Annelise	f	0
Annelore	f	0
Annelotte	f	0
Annely	f	0
Annelyne	f	0
Annelyse	f	0
Annelène	f	0
Annemie	f	0
Annemiek	f	0
Annerose	f	0
Anni	f	0
Annic	f	0
Annick	f	0
Annie	f	0
Annie-Claude	f	0
Annie-Marie	f	0
Annie-Soleil	f	0
Annig	f	0
Annita	f	0
Annonciade	f	0
Annonciation	f	0
Anny	f	0
Annélie	f	0
Anook	f	0
Anouch	f	0
Anouchka	f	0
Anouck	f	0
Anrijs	m	0
Anseaulme	m	0
Anselm	m	0
Anselme	m	0
Anselmie	f	0
Anseïs	m	0
Anseÿs	m	0
Anta	f	0
Anthelme	m	0
Anthime	m	0
Anthony	m	0
Anthéa	f	0
Antigone	f	0
Antiope	f	0
Antipas	m	0
Antoine	m	0
Antoine-Dominique	m	0
Antoine-François	m	0
Antoine-Jean	m	0
Antoine-Joseph	m	0
Antoine-Louis	m	0
Antoine-Marie	m	0
Antoinette	f	0
Antoinietta	f	0
Anton	m	0
Antonella	f	0
Antonfrancesco	m	0
Antoni	m	0
Antonia	f	0
Antonie	m	0
Antonija	f	0
Antonije	m	0
Antonin	m	0
Antonine	f	0
Antonio	m	0
Antony	m	0
Antri	f	0
Antti	m	0
Antxon	m	0
Any	f	0
Anya	f	1
Anélie	f	0
Anémone	f	0
Apauline	f	0
Aphélie	f	1
Apo	f	0
Apoline	f	0
Apollin	m	0
Apollinaire	m	0
Apolline	f	0
Apollonie	f	0
Apollyne	f	0
Apolonija	f	0
Apolyne	f	0
Appoline	f	0
Appolline	f	0
Appolonie	f	0
Appolyne	f	0
April	f	0
Aquilin	m	0
Aquiline	f	0
Arabella	f	0
Arabelle	f	0
Araceli	f	0
Aradia	f	0
Aram	m	0
Arash	m	0
Araxie	f	0
Arcadi	m	0
Archibald	m	0
Archibaldine	f	0
Archie	m	0
Archimède	m	0
Arda	m	0
Ardie	m	0
Ardijan	m	0
Ardijana	f	0
Argane	f	0
Argantaël	f	0
Argia	f	0
Argine	f	0
Argitxu	f	0
Aria	f	0
Ariana	f	0
Ariane	f	0
Arianne	f	0
Arica	f	0
Aricie	f	0
Arieh	m	0
Ariel	m	0
Arielle	f	0
Arij	m	0
Arija	f	0
Arijan	m	0
Arijana	f	0
Arije	f	0
Arijeta	f	0
Arijit	m	0
Arijon	m	0
Arik	m	0
Aristarque	m	0
Ariste	m	0
Aristide	m	0
