baillées			baillé	VER	VER	f	p		0.05	0.05	0.05																									
baillés			baillé	VER	VER	m	p		0.05	0.05	0.05																									
balbutiée			balbutié	VER	VER	f	s		0.05	0.05	0.05																									
balbutiées			balbutié	VER	VER	f	p		0.05	0.05	0.05																									
balbutiés			balbutié	VER	VER	m	p		0.05	0.05	0.05																									
ballée			ballé	VER	VER	f	s		0.05	0.05	0.05																									
ballées			ballé	VER	VER	f	p		0.05	0.05	0.05																									
ballés			ballé	VER	VER	m	p		0.05	0.05	0.05																									
balotée			baloté	VER	VER	f	s		0.05	0.05	0.05																									
balotées			baloté	VER	VER	f	p		0.05	0.05	0.05																									
balotés			baloté	VER	VER	m	p		0.05	0.05	0.05																									
bambochée			bamboché	VER	VER	f	s		0.05	0.05	0.05																									
bambochées			bamboché	VER	VER	f	p		0.05	0.05	0.05																									
bambochés			bamboché	VER	VER	m	p		0.05	0.05	0.05																									
banquetée			banqueté	VER	VER	f	s		0.05	0.05	0.05																									
banquetées			banqueté	VER	VER	f	p		0.05	0.05	0.05																									
banquetés			banqueté	VER	VER	m	p		0.05	0.05	0.05																									
banquée			banqué	VER	VER	f	s		0.05	0.05	0.05																									
banquées			banqué	VER	VER	f	p		0.05	0.05	0.05																									
banqués			banqué	VER	VER	m	p		0.05	0.05	0.05																									
baragouinée			baragouiné	VER	VER	f	s		0.05	0.05	0.05																									
baragouinées			baragouiné	VER	VER	f	p		0.05	0.05	0.05																									
baragouinés			baragouiné	VER	VER	m	p		0.05	0.05	0.05																									
barattée			baratté	VER	VER	f	s		0.05	0.05	0.05																									
barattées			baratté	VER	VER	f	p		0.05	0.05	0.05																									
barattés			baratté	VER	VER	m	p		0.05	0.05	0.05																									
barbotées			barboté	VER	VER	f	p		0.05	0.05	0.05																									
barbées			barbé	VER	VER	f	p		0.05	0.05	0.05																									
baroudée			baroudé	VER	VER	f	s		0.05	0.05	0.05																									
baroudées			baroudé	VER	VER	f	p		0.05	0.05	0.05																									
baroudés			baroudé	VER	VER	m	p		0.05	0.05	0.05																									
bassinées			bassiné	VER	VER	f	p		0.05	0.05	0.05																									
bastonnées			bastonné	VER	VER	f	p		0.05	0.05	0.05																									
bataillée			bataillé	VER	VER	f	s		0.05	0.05	0.05																									
bataillées			bataillé	VER	VER	f	p		0.05	0.05	0.05																									
bataillés			bataillé	VER	VER	m	p		0.05	0.05	0.05																									
batifolée			batifolé	VER	VER	f	s		0.05	0.05	0.05																									
batifolées			batifolé	VER	VER	f	p		0.05	0.05	0.05																									
batifolés			batifolé	VER	VER	m	p		0.05	0.05	0.05																									
battés			batté	VER	VER	m	p		0.05	0.05	0.05																									
baugée			baugé	VER	VER	f	s		0.05	0.05	0.05																									
baugées			baugé	VER	VER	f	p		0.05	0.05	0.05																									
baugés			baugé	VER	VER	m	p		0.05	0.05	0.05																									
bavardée			bavardé	VER	VER	f	s		0.05	0.05	0.05																									
bavardées			bavardé	VER	VER	f	p		0.05	0.05	0.05																									
bavardés			bavardé	VER	VER	m	p		0.05	0.05	0.05																									
bavassée			bavassé	VER	VER	f	s		0.05	0.05	0.05																									
bavassées			bavassé	VER	VER	f	p		0.05	0.05	0.05																									
bavassés			bavassé	VER	VER	m	p		0.05	0.05	0.05																									
bavés			bavé	VER	VER	m	p		0.05	0.05	0.05																									
bectés			becté	VER	VER	m	p		0.05	0.05	0.05																									
besognées			besogné	VER	VER	f	p		0.05	0.05	0.05																									
besognés			besogné	VER	VER	m	p		0.05	0.05	0.05																									
bestialisée			bestialisé	VER	VER	f	s		0.05	0.05	0.05																									
bestialisées			bestialisé	VER	VER	f	p		0.05	0.05	0.05																									
bestialisés			bestialisé	VER	VER	m	p		0.05	0.05	0.05																									
beuglée			beuglé	VER	VER	f	s		0.05	0.05	0.05																									
beuglées			beuglé	VER	VER	f	p		0.05	0.05	0.05																									
beuglés			beuglé	VER	VER	m	p		0.05	0.05	0.05																									
biberonnées			biberonné	VER	VER	f	p		0.05	0.05	0.05																									
biffées			biffé	VER	VER	f	p		0.05	0.05	0.05																									
biffés			biffé	VER	VER	m	p		0.05	0.05	0.05																									
bifurquées			bifurqué	VER	VER	f	p		0.05	0.05	0.05																									
bifurqués			bifurqué	VER	VER	m	p		0.05	0.05	0.05																									
biglée			biglé	VER	VER	f	s		0.05	0.05	0.05																									
biglées			biglé	VER	VER	f	p		0.05	0.05	0.05																									
biglés			biglé	VER	VER	m	p		0.05	0.05	0.05																									
biscuitée			biscuité	VER	VER	f	s		0.05	0.05	0.05																									
biscuitées			biscuité	VER	VER	f	p		0.05	0.05	0.05																									
biscuités			biscuité	VER	VER	m	p		0.05	0.05	0.05																									
bisquée			bisqué	VER	VER	f	s		0.05	0.05	0.05																									
bisquées			bisqué	VER	VER	f	p		0.05	0.05	0.05																									
bisqués			bisqué	VER	VER	m	p		0.05	0.05	0.05																									
bissées			bissé	VER	VER	f	p		0.05	0.05	0.05																									
bissés			bissé	VER	VER	m	p		0.05	0.05	0.05																									
bisée			bisé	VER	VER	f	s		0.05	0.05	0.05																									
bisés			bisé	VER	VER	m	p		0.05	0.05	0.05																									
bitumés			bitumé	VER	VER	m	p		0.05	0.05	0.05																									
